reportDate,cpc
2019-01-13,0.247296868113562
2019-01-14,0.338141595708143
2019-01-15,0.382296975434851
2019-01-16,0.321013559937006
2019-01-17,0.253973347981771
2019-01-18,0.331112898965747
2019-01-19,0.297335965848957
2019-01-20,0.303515362885832
2019-01-21,0.296308074428866
2019-01-22,0.315906973656289
2019-01-23,0.313717090508471
2019-01-24,0.323507059870287
2019-01-25,0.308602017569645
2019-01-26,0.311835590782907
2019-01-27,0.310563403104259
2019-01-28,0.322199871223876
2019-01-29,0.375754247737836
2019-01-30,0.375318710090135
2019-01-31,0.35038351410801
2019-02-01,0.358126576097706
2019-02-02,0.348336324406448
2019-02-03,0.357301448923014
2019-02-04,0.343246274464627
2019-02-05,0.356626382480214
2019-02-06,0.371484318573045
2019-02-07,0.277912839837031
2019-02-08,0.313496800660391
2019-02-09,0.307363775712025
2019-02-10,0.323895174641663
2019-02-11,0.328729868230619
2019-02-12,0.328611307683001
2019-02-13,0.343631057404145
2019-02-14,0.37636008972501
2019-02-15,0.398236271632914
2019-02-16,0.36180262644522
2019-02-17,0.340015008725066
2019-02-18,0.393586790909181
2019-02-19,0.379772715591358
2019-02-20,0.375898052547977
2019-02-21,0.391235720478824
2019-02-22,0.441833967407698
2019-02-23,0.540253003438314
2019-02-24,0.576661331887038
2019-02-25,0.511459526988123
2019-02-26,0.527555917663119
2019-02-27,0.525156976218003
2019-02-28,0.566437914480571
2019-03-01,0.780341862952947
2019-03-02,0.7413008361651
2019-03-03,0.803929661725623
2019-03-04,0.785240800117298
2019-03-05,0.797138721267612
2019-03-06,0.737786060542016
2019-03-07,0.735704382352411
2019-03-08,0.728611063074183
2019-03-09,0.69634744690893
2019-03-10,0.716004520183761
2019-03-11,0.714126967518778
2019-03-12,0.757220922909553
2019-03-13,0.618099975585938
2019-03-14,0.708224727330583
2019-03-15,0.646204049246652
2019-03-16,0.630298812075915
2019-03-17,0.657394021244372
2019-03-18,0.677390383000959
2019-03-19,0.614788769236513
2019-03-20,0.681476499143596
2019-03-21,0.493508794605424
2019-03-22,0.450150995096828
2019-03-23,0.417373551993534
2019-03-24,0.367883603845518
2019-03-25,0.436731262207031
2019-03-26,0.425086428795332
2019-03-27,0.455943358646765
2019-03-28,0.567014931446284
2019-03-29,0.572434103473965
2019-03-30,0.554585404132479
2019-03-31,0.547447346400151
2019-04-01,
2019-04-02,
2019-04-03,0.405452028039384
2019-04-04,0.418361915035279
2019-04-05,0.408944204812703
2019-04-06,0.39677634295045
2019-04-07,0.390185195232124
2019-04-09,0.3800730133521
2019-04-10,0.421745643547072
2019-04-11,0.419331573244764
2019-04-12,0.414530390703614
2019-04-13,0.413917865011802
2019-04-14,0.428352685207004
2019-04-15,0.399779983796983
2019-04-16,0.398514258975074
2019-04-17,0.373575775465483
2019-04-18,0.376033616466202
2019-04-19,0.426872038676646
2019-04-20,0.399138112221995
2019-04-21,0.397119900119167
2019-04-22,0.407598835752923
2019-04-23,0.424906452809732
2019-04-24,0.417352625625668
2019-04-25,0.406992177379016
2019-04-26,0.38476190112886
2019-04-27,0.395723582274558
2019-04-28,0.391629168261357
2019-04-29,0.394953422451729
2019-04-30,0.383813349132637
2019-05-01,0.355104561349723
2019-05-02,0.352888642023745
2019-05-03,0.337815984870271
2019-05-04,0.332197339743961
2019-05-05,0.336859726711516
2019-05-06,0.351540320856654
2019-05-07,0.356300134077823
2019-05-08,0.374639387727416
2019-05-09,0.363586611298442
2019-05-10,0.362524196634462
2019-05-11,0.371945972413477
2019-05-12,0.348660827666333
2019-05-13,0.364939452096498
2019-05-14,0.351573199990355
2019-05-15,0.384723217182093
2019-05-16,0.37123378311487
2019-05-17,0.381977055348507
2019-05-18,0.366142875607274
2019-05-19,0.364562355905569
2019-05-20,0.340445258147525
2019-05-21,0.334630721076729
2019-05-22,0.342318381302197
2019-05-23,0.351379346698055
2019-05-24,0.349843819754464
2019-05-25,0.344354250094348
2019-05-26,0.33086160916988
2019-05-27,0.341996742660597
2019-05-28,0.334174120824395
2019-05-29,0.348178897892033
2019-05-30,0.346949843714574
2019-05-31,0.32832722293123
2019-06-01,0.312030460280545
2019-06-02,0.345044739206537
2019-06-03,0.31343730335809
2019-06-04,0.322156680527554
2019-06-05,0.313048025277945
2019-06-06,0.319849664490127
2019-06-07,0.31878568547819
2019-06-08,0.332864876723311
2019-06-09,0.327598631986771
2019-06-10,0.332595016305856
2019-06-11,0.391329348542913
2019-06-12,0.384797539332606
2019-06-13,0.375841629908052
2019-06-14,0.365663740782721
2019-06-15,0.373709789962047
2019-06-16,0.369649251302083
2019-06-17,0.371757383446753
2019-06-18,0.367621099550152
2019-06-19,0.384576122655728
2019-06-20,0.373537714495523
2019-06-21,0.359501391053016
2019-06-22,0.346224337997591
2019-06-23,0.359232989630599
2019-06-24,0.380119323730469
2019-06-25,0.378288518602603
2019-06-26,0.379933326903779
2019-06-27,0.370465205439815
2019-06-28,0.383672927473676
2019-06-29,0.370834296794672
2019-06-30,0.375549510056876
2019-07-01,0.445418504891417
2019-07-02,0.398037656211286
2019-07-03,0.441184194464433
2019-07-04,0.471750005086263
2019-07-05,0.455796262051197
2019-07-06,0.450360625601639
2019-07-07,0.471494607087827
2019-07-08,0.424049347703619
2019-07-09,0.406583993112037
2019-07-10,0.421144933684203
2019-07-11,0.415662997477763
2019-07-12,0.398967819984513
2019-07-13,0.405857084044555
2019-07-14,0.417036644798434
2019-07-15,0.415092993943902
2019-07-16,0.410029975179095
2019-07-17,0.416220315418528
2019-07-18,0.397783070736144
2019-07-19,0.413716162852622
